file_name,account_holder,bank_name,iban,period,start_balance,end_balance,transactions_json
statement_0000.png,Emmanuel Renaud de la Buisson,Société Générale,FR1760386629754914706419223,du 01/12/1992 au 28/12/1992,1223.69,2064.50,"[{'date': '10/12/1992', 'description': 'RETRAIT DAB GUILLET PAYET S.A.R.L.', 'debit': '428.04', 'credit': ''}, {'date': '20/12/1992', 'description': 'VIREMENT DE GAY', 'debit': '', 'credit': '56.62'}, {'date': '22/12/1992', 'description': 'REMISE DE CHEQUE MONNIER', 'debit': '', 'credit': '381.04'}, {'date': '06/12/1992', 'description': 'VIREMENT DE BERTIN', 'debit': '', 'credit': '393.99'}, {'date': '10/12/1992', 'description': 'REMISE DE CHEQUE GUILLOU PONS S.A.R.L.', 'debit': '', 'credit': '445.22'}, {'date': '23/12/1992', 'description': 'VIREMENT A POTTIER', 'debit': '115.92', 'credit': ''}, {'date': '20/12/1992', 'description': 'VIREMENT DE FAURE', 'debit': '', 'credit': '310.21'}, {'date': '17/12/1992', 'description': 'REMISE DE CHEQUE GERMAIN', 'debit': '', 'credit': '29.48'}, {'date': '23/12/1992', 'description': 'REMISE DE CHEQUE ADAM', 'debit': '', 'credit': '357.05'}, {'date': '15/12/1992', 'description': 'RETRAIT DAB CLÉMENT', 'debit': '197.41', 'credit': ''}, {'date': '27/12/1992', 'description': 'PRELEVEMENT BONNIN', 'debit': '276.99', 'credit': ''}, {'date': '21/12/1992', 'description': 'VIREMENT DE ROY S.A.R.L.', 'debit': '', 'credit': '73.45'}, {'date': '04/12/1992', 'description': 'PAIEMENT CB TEIXEIRA', 'debit': '116.43', 'credit': ''}, {'date': '14/12/1992', 'description': 'VIREMENT DE FOUQUET', 'debit': '', 'credit': '170.99'}, {'date': '26/12/1992', 'description': 'PRELEVEMENT BLONDEL', 'debit': '242.45', 'credit': ''}]"
statement_0001.png,Aimée Bernier,Société Générale,FR1725428642759991745226233,du 01/07/2013 au 28/07/2013,4678.27,4544.91,"[{'date': '14/07/2013', 'description': 'VIREMENT A BODIN', 'debit': '372.65', 'credit': ''}, {'date': '17/07/2013', 'description': 'VIREMENT A BERTHELOT SA', 'debit': '216.71', 'credit': ''}, {'date': '01/07/2013', 'description': 'VIREMENT A MERLE', 'debit': '380.88', 'credit': ''}, {'date': '22/07/2013', 'description': 'VIREMENT DE TORRES AUGER ET FILS', 'debit': '', 'credit': '354.61'}, {'date': '07/07/2013', 'description': 'VIREMENT DE PEREZ', 'debit': '', 'credit': '242.35'}, {'date': '19/07/2013', 'description': 'VIREMENT DE LECONTE', 'debit': '', 'credit': '234.93'}, {'date': '16/07/2013', 'description': 'VIREMENT DE RIVIÈRE', 'debit': '', 'credit': '410.84'}, {'date': '09/07/2013', 'description': 'PAIEMENT CB BARTHELEMY', 'debit': '224.03', 'credit': ''}, {'date': '09/07/2013', 'description': 'VIREMENT A BRUNEAU LEBRETON S.A.', 'debit': '181.82', 'credit': ''}]"
statement_0002.png,Nathalie Paris,BNP Paribas,FR5125308595797236967604616,du 01/12/1988 au 28/12/1988,4881.72,4110.66,"[{'date': '13/12/1988', 'description': 'VIREMENT DE HERVÉ SARL', 'debit': '', 'credit': '278.09'}, {'date': '22/12/1988', 'description': 'REMISE DE CHEQUE BÈGUE', 'debit': '', 'credit': '427.65'}, {'date': '08/12/1988', 'description': 'PRELEVEMENT MATHIEU', 'debit': '371.55', 'credit': ''}, {'date': '11/12/1988', 'description': 'VIREMENT A PHILIPPE', 'debit': '271.21', 'credit': ''}, {'date': '22/12/1988', 'description': 'PRELEVEMENT PETIT', 'debit': '421.59', 'credit': ''}, {'date': '21/12/1988', 'description': 'REMISE DE CHEQUE TORRES ET FILS', 'debit': '', 'credit': '24.30'}, {'date': '13/12/1988', 'description': 'PRELEVEMENT MARCHAL', 'debit': '57.25', 'credit': ''}, {'date': '05/12/1988', 'description': 'PAIEMENT CB PASQUIER MARION S.A.', 'debit': '202.50', 'credit': ''}, {'date': '17/12/1988', 'description': 'REMISE DE CHEQUE GODARD S.A.R.L.', 'debit': '', 'credit': '431.52'}, {'date': '05/12/1988', 'description': 'VIREMENT A FOUCHER KLEIN S.A.S.', 'debit': '418.60', 'credit': ''}, {'date': '08/12/1988', 'description': 'RETRAIT DAB PERRET', 'debit': '229.88', 'credit': ''}, {'date': '06/12/1988', 'description': 'PAIEMENT CB DESCHAMPS SARL', 'debit': '362.72', 'credit': ''}, {'date': '23/12/1988', 'description': 'VIREMENT DE HAMEL CHAUVIN S.A.S.', 'debit': '', 'credit': '402.68'}]"
statement_0003.png,Guy-Théophile Lévy,La Banque Postale,FR8771844450891673893775489,du 01/08/2002 au 28/08/2002,1416.14,741.74,"[{'date': '27/08/2002', 'description': 'RETRAIT DAB BERNIER', 'debit': '30.84', 'credit': ''}, {'date': '03/08/2002', 'description': 'REMISE DE CHEQUE GUILLET', 'debit': '', 'credit': '120.36'}, {'date': '21/08/2002', 'description': 'VIREMENT DE LEFORT MASSON SARL', 'debit': '', 'credit': '192.14'}, {'date': '03/08/2002', 'description': 'VIREMENT A DURAND', 'debit': '296.01', 'credit': ''}, {'date': '05/08/2002', 'description': 'PAIEMENT CB DELORME', 'debit': '126.42', 'credit': ''}, {'date': '09/08/2002', 'description': 'VIREMENT DE POTIER', 'debit': '', 'credit': '43.53'}, {'date': '20/08/2002', 'description': 'RETRAIT DAB BLANC', 'debit': '106.67', 'credit': ''}, {'date': '03/08/2002', 'description': 'RETRAIT DAB PICARD', 'debit': '339.68', 'credit': ''}, {'date': '12/08/2002', 'description': 'PAIEMENT CB BOURDON MARION ET FILS', 'debit': '67.85', 'credit': ''}, {'date': '11/08/2002', 'description': 'VIREMENT A FISCHER FERNANDEZ SA', 'debit': '404.23', 'credit': ''}, {'date': '25/08/2002', 'description': 'VIREMENT DE LAURENT MERLE S.A.', 'debit': '', 'credit': '364.35'}, {'date': '23/08/2002', 'description': 'PAIEMENT CB DELORME', 'debit': '23.08', 'credit': ''}]"
statement_0004.png,William Lagarde,Crédit Agricole,FR1764200042995647377131503,du 01/01/2000 au 28/01/2000,4102.46,4554.84,"[{'date': '23/01/2000', 'description': 'REMISE DE CHEQUE MARQUES', 'debit': '', 'credit': '354.35'}, {'date': '11/01/2000', 'description': 'REMISE DE CHEQUE MEYER SARL', 'debit': '', 'credit': '406.35'}, {'date': '22/01/2000', 'description': 'PAIEMENT CB CHARRIER S.A.R.L.', 'debit': '108.16', 'credit': ''}, {'date': '01/01/2000', 'description': 'PAIEMENT CB VINCENT', 'debit': '341.67', 'credit': ''}, {'date': '19/01/2000', 'description': 'VIREMENT DE LEROY', 'debit': '', 'credit': '91.96'}, {'date': '13/01/2000', 'description': 'REMISE DE CHEQUE ALVES', 'debit': '', 'credit': '300.74'}, {'date': '13/01/2000', 'description': 'VIREMENT A MERLE SARL', 'debit': '263.17', 'credit': ''}, {'date': '18/01/2000', 'description': 'REMISE DE CHEQUE LAMY', 'debit': '', 'credit': '130.83'}, {'date': '10/01/2000', 'description': 'PAIEMENT CB LEDUC', 'debit': '118.85', 'credit': ''}]"
statement_0005.png,Henriette Payet,BNP Paribas,FR2065861597746984014733701,du 01/01/1978 au 28/01/1978,1064.45,1036.51,"[{'date': '07/01/1978', 'description': 'VIREMENT DE CARRE', 'debit': '', 'credit': '145.91'}, {'date': '19/01/1978', 'description': 'REMISE DE CHEQUE VASSEUR BRUN ET FILS', 'debit': '', 'credit': '214.61'}, {'date': '08/01/1978', 'description': 'REMISE DE CHEQUE LEMONNIER ROY S.A.S.', 'debit': '', 'credit': '128.82'}, {'date': '22/01/1978', 'description': 'VIREMENT DE JULIEN', 'debit': '', 'credit': '43.83'}, {'date': '09/01/1978', 'description': 'PAIEMENT CB DUVAL LEMAÎTRE SARL', 'debit': '331.83', 'credit': ''}, {'date': '01/01/1978', 'description': 'RETRAIT DAB NOËL', 'debit': '278.04', 'credit': ''}, {'date': '05/01/1978', 'description': 'VIREMENT DE DE OLIVEIRA', 'debit': '', 'credit': '98.35'}, {'date': '14/01/1978', 'description': 'VIREMENT A FOUQUET', 'debit': '336.54', 'credit': ''}, {'date': '07/01/1978', 'description': 'REMISE DE CHEQUE GARNIER SARL', 'debit': '', 'credit': '212.82'}, {'date': '09/01/1978', 'description': 'PRELEVEMENT SCHNEIDER ET FILS', 'debit': '37.60', 'credit': ''}, {'date': '05/01/1978', 'description': 'PAIEMENT CB DIAS', 'debit': '299.53', 'credit': ''}, {'date': '03/01/1978', 'description': 'VIREMENT DE MULLER GAUDIN S.A.R.L.', 'debit': '', 'credit': '411.26'}]"
statement_0006.png,Bertrand Imbert,Crédit Mutuel,FR3094558574175107959824228,du 01/06/2025 au 28/06/2025,2368.00,1404.15,"[{'date': '01/06/2025', 'description': 'VIREMENT DE BLIN', 'debit': '', 'credit': '308.69'}, {'date': '10/06/2025', 'description': 'PRELEVEMENT FOURNIER DE SOUSA S.A.R.L.', 'debit': '264.39', 'credit': ''}, {'date': '01/06/2025', 'description': 'PAIEMENT CB DIAS', 'debit': '233.05', 'credit': ''}, {'date': '10/06/2025', 'description': 'PAIEMENT CB RAYNAUD', 'debit': '170.20', 'credit': ''}, {'date': '01/06/2025', 'description': 'VIREMENT A BOUVET', 'debit': '80.76', 'credit': ''}, {'date': '13/06/2025', 'description': 'VIREMENT DE BENOIT', 'debit': '', 'credit': '197.50'}, {'date': '09/06/2025', 'description': 'PAIEMENT CB ROLLAND', 'debit': '445.43', 'credit': ''}, {'date': '25/06/2025', 'description': 'VIREMENT A GRONDIN', 'debit': '117.69', 'credit': ''}, {'date': '03/06/2025', 'description': 'PAIEMENT CB TORRES', 'debit': '158.52', 'credit': ''}]"
statement_0007.png,Tristan Renaud Le Fernandes,La Banque Postale,FR7836582133664312194409667,du 01/04/2013 au 28/04/2013,2015.91,1070.18,"[{'date': '24/04/2013', 'description': 'PRELEVEMENT MARCHAND', 'debit': '449.95', 'credit': ''}, {'date': '08/04/2013', 'description': 'REMISE DE CHEQUE GAUDIN LE ROUX S.A.R.L.', 'debit': '', 'credit': '56.24'}, {'date': '09/04/2013', 'description': 'PRELEVEMENT GRONDIN', 'debit': '132.68', 'credit': ''}, {'date': '15/04/2013', 'description': 'PRELEVEMENT PAUL', 'debit': '327.03', 'credit': ''}, {'date': '21/04/2013', 'description': 'REMISE DE CHEQUE AUBERT', 'debit': '', 'credit': '150.87'}, {'date': '21/04/2013', 'description': 'PAIEMENT CB VALLET RIVIÈRE SARL', 'debit': '20.01', 'credit': ''}, {'date': '07/04/2013', 'description': 'PRELEVEMENT RAYMOND', 'debit': '94.57', 'credit': ''}, {'date': '10/04/2013', 'description': 'REMISE DE CHEQUE MARCHAND S.A.R.L.', 'debit': '', 'credit': '255.89'}, {'date': '18/04/2013', 'description': 'PAIEMENT CB TANGUY S.A.S.', 'debit': '384.49', 'credit': ''}]"
statement_0008.png,Émile Martel,Société Générale,FR6749572261830069088958213,du 01/03/1974 au 28/03/1974,2736.71,2607.90,"[{'date': '07/03/1974', 'description': 'VIREMENT DE RAMOS', 'debit': '', 'credit': '111.42'}, {'date': '05/03/1974', 'description': 'VIREMENT A MARCHAL', 'debit': '68.04', 'credit': ''}, {'date': '12/03/1974', 'description': 'VIREMENT A LEBRUN', 'debit': '48.01', 'credit': ''}, {'date': '13/03/1974', 'description': 'PRELEVEMENT LEDUC', 'debit': '205.57', 'credit': ''}, {'date': '08/03/1974', 'description': 'VIREMENT A LEMONNIER', 'debit': '112.05', 'credit': ''}, {'date': '13/03/1974', 'description': 'REMISE DE CHEQUE VALLET', 'debit': '', 'credit': '278.06'}, {'date': '23/03/1974', 'description': 'PRELEVEMENT GRENIER', 'debit': '227.72', 'credit': ''}, {'date': '01/03/1974', 'description': 'VIREMENT DE ROLLAND', 'debit': '', 'credit': '143.10'}]"
statement_0009.png,Charles Descamps de Pereira,Crédit Mutuel,FR2962478494131673956329688,du 01/05/2018 au 28/05/2018,3089.56,1719.59,"[{'date': '12/05/2018', 'description': 'VIREMENT DE CARPENTIER CHAUVIN SA', 'debit': '', 'credit': '379.26'}, {'date': '16/05/2018', 'description': 'PAIEMENT CB MERCIER COHEN S.A.R.L.', 'debit': '366.60', 'credit': ''}, {'date': '21/05/2018', 'description': 'PAIEMENT CB NICOLAS', 'debit': '404.59', 'credit': ''}, {'date': '01/05/2018', 'description': 'PRELEVEMENT CHAUVET', 'debit': '327.98', 'credit': ''}, {'date': '27/05/2018', 'description': 'VIREMENT A PARIS S.A.S.', 'debit': '392.45', 'credit': ''}, {'date': '25/05/2018', 'description': 'REMISE DE CHEQUE PAGES', 'debit': '', 'credit': '28.81'}, {'date': '23/05/2018', 'description': 'PAIEMENT CB PERRIER', 'debit': '286.42', 'credit': ''}]"
